STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,35.00K,34.18,-79.39,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,"Multiple large trees down on homes and blocking roadways in and near the 900 block of Jones Avenue/NC-41. In addition, a large brick wall in main street commons in downtown Marion separated from a building and collapsed."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.95,-78.93,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Tree down in roadway on Adrian highway.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,2.00K,34.18,-79.38,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Tree down on house along NC-41 near intersection with Walnut Street.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,3.00K,34.23,-79.26,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Tree down on car near SC-41 and Zion Road.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.29,-80.11,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Wind gust of 65 mph estimated in the town of Lydia.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,10.00K,33.38,-79.3,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Significant roof damage to mobile home on Lafayette Street near intersection with Church Street with half of roof torn off.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,33.81,-78.72,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Measured at North Myrtle Beach Airport.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,10.00K,34.76,-79.83,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Trees and powerlines down along Old Wire Road.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.51,-79.67,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Tree down at Gravel Pit Road and Johns Road near Blenheim.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.63,-79.69,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,"Several reports of trees and power lines down including along Willamette Road, Hodges Ave, Salem Road, and Ancil Street."
